,ticket_number,issued_date,location,description,status,dayofweek,hourofday,lat,lon,count,amount
0,371770D,2023/01/01 01:10:00+00,100 WALTON ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,Sunday,1,43.048044,-76.153734,1,25
1,369471D,2023/01/01 19:45:00+00,700 SUMNER AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,19,43.037936650000006,-76.12608987597199,1,25
2,389534D,2023/01/01 21:14:00+00,800 MARYLAND AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Sunday,21,43.03650915,-76.12054507283808,1,25
3,389535D,2023/01/01 21:15:00+00,800 MARYLAND AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,21,43.03650915,-76.12054507283808,1,25
4,389544D,2023/01/01 21:45:00+00,300 ROOSEVELT AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,21,43.0334904,-76.1176299,1,25
5,389547D,2023/01/01 21:56:00+00,300 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Sunday,21,43.0334904,-76.1176299,1,60
6,376220D,2023/01/02 04:18:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,4,43.113505702811246,-76.11989651004016,1,25
7,376221D,2023/01/02 04:19:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,4,43.113505702811246,-76.11989651004016,1,25
8,376222D,2023/01/02 04:20:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,4,43.113505702811246,-76.11989651004016,1,25
9,376223D,2023/01/02 04:22:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,4,43.113505702811246,-76.11989651004016,1,25
10,376226D,2023/01/03 04:44:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Adjudication Approved,Tuesday,4,43.113505702811246,-76.11989651004016,1,0
11,392568D,2023/01/02 18:05:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,18,43.113505702811246,-76.11989651004016,1,25
12,392566D,2023/01/02 12:00:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,12,43.113505702811246,-76.11989651004016,1,25
13,392346D,2023/01/02 09:11:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,9,43.113505702811246,-76.11989651004016,1,25
14,392569D,2023/01/02 18:19:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,18,43.113505702811246,-76.11989651004016,1,25
15,376224D,2023/01/02 12:20:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,12,43.113505702811246,-76.11989651004016,1,25
16,395967D,2023/01/02 22:42:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Monday,22,43.0482071,-76.1096112,1,60
17,395968D,2023/01/02 22:45:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,22,43.0482071,-76.1096112,1,60
18,395970D,2023/01/02 22:57:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,22,43.0482071,-76.1096112,1,60
19,395972D,2023/01/02 22:56:00+00,200 GENESEE PK DR,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,Monday,22,43.0482071,-76.1096112,1,25
20,392347D,2023/01/02 14:32:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,14,43.113505702811246,-76.11989651004016,1,25
21,392349D,2023/01/02 17:45:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,17,43.113505702811246,-76.11989651004016,1,25
22,392348D,2023/01/02 15:44:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Issued,Monday,15,43.113505702811246,-76.11989651004016,1,25
23,395988D,2023/01/02 23:48:00+00,700 MARYLAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.038331,-76.1207114,1,60
